,Store,CardID,EAN,Category,MedType,SW2Key,Revenue,RevenueInc.,Qty,TransactionType,BookingDate
59,9,82364801499,9995,4,32,22,45.49,45.49,1.0,5,2018-01-27
72,3,99355627099,9998,5,32,22,267.12,260.12,7.0,5,2018-02-01
110,10,59301418999,9994,4,32,22,24.16,24.16,1.0,5,2018-02-16
143,3,32819586299,9985,1,34,22,39.42,39.42,1.0,5,2018-02-26
177,7,9502970899,9993,4,32,22,31.94,31.94,1.0,5,2018-03-10
212,3,94365889499,9987,2,38,24,34.5,34.5,1.0,5,2018-03-28
234,6,55827754899,9995,4,32,22,181.97,181.97,4.0,5,2018-04-05
240,9,59681386599,9985,1,34,22,78.84,78.84,2.0,5,2018-04-09
244,6,14379876899,9991,2,38,24,28.54,28.54,1.0,5,2018-04-10
248,10,40804109399,9987,2,38,24,34.5,34.5,1.0,5,2018-04-11
258,2,62999140399,9989,2,38,24,56.46,56.46,1.0,5,2018-04-15
278,3,66736159399,9986,1,34,22,73.06,73.06,4.0,5,2018-04-23
297,7,71582711699,9991,2,38,24,28.54,28.54,1.0,5,2018-05-01
301,10,58929958299,9998,5,32,22,38.16,37.16,1.0,5,2018-05-03
302,7,85973721499,9995,4,32,22,45.49,45.49,1.0,5,2018-05-03
330,5,88367561299,9989,2,38,24,56.46,56.46,1.0,5,2018-05-15
335,1,96338712999,9991,2,38,24,28.54,28.54,1.0,5,2018-05-18
371,5,44777928599,9999,5,32,22,25.91,25.91,1.0,5,2018-06-04
375,10,71754214299,9989,2,38,24,56.46,56.46,1.0,5,2018-06-05
383,5,44317763699,9992,3,34,22,36.41,34.41,1.0,5,2018-06-13
415,1,98553018699,9991,2,38,24,114.14,114.14,4.0,5,2018-06-28
420,7,58994904699,9999,5,32,22,25.91,25.91,1.0,5,2018-06-29
472,3,16961933299,9993,4,32,22,31.94,31.94,1.0,5,2018-07-22
482,2,91902775799,9996,4,32,22,54.4,54.4,1.0,5,2018-07-30
496,7,16961933299,9995,4,32,22,45.49,45.49,1.0,5,2017-10-07
525,5,44777928599,9987,2,38,24,34.5,34.5,1.0,5,2017-10-19
554,5,30624301299,9998,5,32,22,38.16,37.16,1.0,5,2017-11-05
590,3,66427326499,9985,1,34,22,39.42,39.42,1.0,5,2017-11-17
593,2,32819586299,9986,1,34,22,73.06,73.06,4.0,5,2017-11-18
594,5,43966876099,9992,3,34,22,36.41,34.41,1.0,5,2017-11-19
618,5,25646559499,9987,2,38,24,34.5,34.5,1.0,5,2017-12-02
647,6,88367561299,9998,5,32,22,38.16,37.16,1.0,5,2017-12-23
652,10,48437596099,9985,1,34,22,39.42,39.42,1.0,5,2017-12-24
654,5,85973721499,9989,2,38,24,169.38,169.38,3.0,5,2017-12-26
665,8,66427326499,9988,2,38,24,41.88,41.88,1.0,5,2017-12-31
670,6,14379876899,9987,2,38,24,103.5,103.5,3.0,5,2017-09-29
703,4,55827754899,9994,4,32,22,24.16,24.16,1.0,5,2017-05-10
735,5,99355627099,9988,2,38,24,41.88,41.88,1.0,5,2017-05-26
749,9,55827754899,9995,4,32,22,45.49,45.49,1.0,5,2017-06-01
750,5,99470078299,9989,2,38,24,56.46,56.46,1.0,5,2017-06-02
794,10,71548768099,9995,4,32,22,45.49,45.49,1.0,5,2017-06-21
830,3,16961933299,9992,3,34,22,36.41,34.41,1.0,5,2017-07-09
851,7,66736159399,9989,2,38,24,56.46,56.46,1.0,5,2017-07-16
881,2,69235107099,9985,1,34,22,39.42,39.42,1.0,5,2017-08-02
891,6,69235107099,9985,1,34,22,39.42,39.42,1.0,5,2017-08-08
906,9,78973681999,9989,2,38,24,56.46,56.46,1.0,5,2017-08-16
911,9,14379876899,10000,5,32,22,46.5,45.5,1.0,5,2017-08-20
925,5,66812863699,9989,2,38,24,56.46,56.46,1.0,5,2017-08-29
970,1,91589091699,9993,4,32,22,63.89,63.89,2.0,5,2017-09-19
980,3,65801188599,10000,5,32,22,46.5,45.5,1.0,5,2017-09-21
981,6,65664932099,9992,3,34,22,36.41,34.41,1.0,5,2017-09-21
996,6,14379876899,9987,2,38,24,103.5,103.5,3.0,5,2017-09-29
