,Number of clusters,Sum of squared score,Silhouette score,Calinski-Harabaz score
0,2,-174.73302517765887,0.2999007935168274,34.36629264936983
1,3,-136.57744214415075,0.26188401611026135,31.019187611061316
2,4,-111.57661734286926,0.2788246936027486,29.864780976330945
3,5,-89.58053620801417,0.28743934078500155,31.465861114712038
4,6,-80.22816718209253,0.26698119640334234,29.16682916699729
5,7,-72.35492779521975,0.2171849397660505,27.67194090518794
6,8,-65.66569898201774,0.2285998637532729,26.62240986486148
7,9,-60.376412000690756,0.23513441820696787,25.59469231680973
8,10,-53.40760886061676,0.2547043364074046,26.167701591952053
